Files already downloaded and verified
[EPOCH: 90] 	Train Loss: 0.7962, 	Train Accuracy: 0.7216
[EPOCH: 90] 	Test Loss: 0.6709, 	Test Accuracy: 0.7862

[EPOCH: 91] 	Train Loss: 0.7976, 	Train Accuracy: 0.7207
[EPOCH: 91] 	Test Loss: 0.5764, 	Test Accuracy: 0.7974

[EPOCH: 92] 	Train Loss: 0.7930, 	Train Accuracy: 0.7220
[EPOCH: 92] 	Test Loss: 0.5909, 	Test Accuracy: 0.7937

[EPOCH: 93] 	Train Loss: 0.7856, 	Train Accuracy: 0.7241
[EPOCH: 93] 	Test Loss: 0.5650, 	Test Accuracy: 0.8012

[EPOCH: 94] 	Train Loss: 0.7870, 	Train Accuracy: 0.7242
[EPOCH: 94] 	Test Loss: 0.5600, 	Test Accuracy: 0.8063

[EPOCH: 95] 	Train Loss: 0.7815, 	Train Accuracy: 0.7270
[EPOCH: 95] 	Test Loss: 0.5656, 	Test Accuracy: 0.8024

[EPOCH: 96] 	Train Loss: 0.7818, 	Train Accuracy: 0.7255
[EPOCH: 96] 	Test Loss: 0.5686, 	Test Accuracy: 0.8024

[EPOCH: 97] 	Train Loss: 0.7803, 	Train Accuracy: 0.7269
[EPOCH: 97] 	Test Loss: 0.5618, 	Test Accuracy: 0.8037

[EPOCH: 98] 	Train Loss: 0.7783, 	Train Accuracy: 0.7276
[EPOCH: 98] 	Test Loss: 0.5881, 	Test Accuracy: 0.7955

[EPOCH: 99] 	Train Loss: 0.7713, 	Train Accuracy: 0.7298
[EPOCH: 99] 	Test Loss: 0.5746, 	Test Accuracy: 0.7961

[EPOCH: 100] 	Train Loss: 0.7727, 	Train Accuracy: 0.7292
[EPOCH: 100] 	Test Loss: 0.5577, 	Test Accuracy: 0.8061

[EPOCH: 101] 	Train Loss: 0.7708, 	Train Accuracy: 0.7291
[EPOCH: 101] 	Test Loss: 0.5844, 	Test Accuracy: 0.7949

[EPOCH: 102] 	Train Loss: 0.7629, 	Train Accuracy: 0.7354
[EPOCH: 102] 	Test Loss: 0.5528, 	Test Accuracy: 0.8064

[EPOCH: 103] 	Train Loss: 0.7623, 	Train Accuracy: 0.7313
[EPOCH: 103] 	Test Loss: 0.5559, 	Test Accuracy: 0.8071

[EPOCH: 104] 	Train Loss: 0.7610, 	Train Accuracy: 0.7345
[EPOCH: 104] 	Test Loss: 0.5854, 	Test Accuracy: 0.7894

[EPOCH: 105] 	Train Loss: 0.7602, 	Train Accuracy: 0.7348
[EPOCH: 105] 	Test Loss: 0.5557, 	Test Accuracy: 0.8060

[EPOCH: 106] 	Train Loss: 0.7551, 	Train Accuracy: 0.7365
[EPOCH: 106] 	Test Loss: 0.5754, 	Test Accuracy: 0.7979

[EPOCH: 107] 	Train Loss: 0.7510, 	Train Accuracy: 0.7350
[EPOCH: 107] 	Test Loss: 0.5687, 	Test Accuracy: 0.8002

[EPOCH: 108] 	Train Loss: 0.7431, 	Train Accuracy: 0.7413
[EPOCH: 108] 	Test Loss: 0.5482, 	Test Accuracy: 0.8100

[EPOCH: 109] 	Train Loss: 0.7517, 	Train Accuracy: 0.7399
[EPOCH: 109] 	Test Loss: 0.5516, 	Test Accuracy: 0.8060

[EPOCH: 110] 	Train Loss: 0.7483, 	Train Accuracy: 0.7374
