Files already downloaded and verified
[EPOCH: 65] 	Test Loss: 0.9889, 	Test Accuracy: 0.6468

[EPOCH: 66] 	Train Loss: 1.1856, 	Train Accuracy: 0.5783
[EPOCH: 66] 	Test Loss: 0.9950, 	Test Accuracy: 0.6509

[EPOCH: 67] 	Train Loss: 1.1822, 	Train Accuracy: 0.5802
[EPOCH: 67] 	Test Loss: 0.9589, 	Test Accuracy: 0.6555

[EPOCH: 68] 	Train Loss: 1.1851, 	Train Accuracy: 0.5783
[EPOCH: 68] 	Test Loss: 0.9485, 	Test Accuracy: 0.6613

[EPOCH: 69] 	Train Loss: 1.1776, 	Train Accuracy: 0.5808
[EPOCH: 69] 	Test Loss: 0.9745, 	Test Accuracy: 0.6551

[EPOCH: 70] 	Train Loss: 1.1713, 	Train Accuracy: 0.5803
[EPOCH: 70] 	Test Loss: 0.9745, 	Test Accuracy: 0.6536

[EPOCH: 71] 	Train Loss: 1.1619, 	Train Accuracy: 0.5879
[EPOCH: 71] 	Test Loss: 0.9645, 	Test Accuracy: 0.6553

[EPOCH: 72] 	Train Loss: 1.1611, 	Train Accuracy: 0.5855
[EPOCH: 72] 	Test Loss: 0.9772, 	Test Accuracy: 0.6529

[EPOCH: 73] 	Train Loss: 1.1639, 	Train Accuracy: 0.5861
[EPOCH: 73] 	Test Loss: 0.9541, 	Test Accuracy: 0.6582

[EPOCH: 74] 	Train Loss: 1.1571, 	Train Accuracy: 0.5896
[EPOCH: 74] 	Test Loss: 0.9392, 	Test Accuracy: 0.6660

[EPOCH: 75] 	Train Loss: 1.1471, 	Train Accuracy: 0.5894
[EPOCH: 75] 	Test Loss: 0.9430, 	Test Accuracy: 0.6598

[EPOCH: 76] 	Train Loss: 1.1506, 	Train Accuracy: 0.5904
[EPOCH: 76] 	Test Loss: 0.9440, 	Test Accuracy: 0.6644

[EPOCH: 77] 	Train Loss: 1.1405, 	Train Accuracy: 0.5951
[EPOCH: 77] 	Test Loss: 0.9467, 	Test Accuracy: 0.6645

[EPOCH: 78] 	Train Loss: 1.1389, 	Train Accuracy: 0.5949
[EPOCH: 78] 	Test Loss: 0.9395, 	Test Accuracy: 0.6666

[EPOCH: 79] 	Train Loss: 1.1345, 	Train Accuracy: 0.5979
[EPOCH: 79] 	Test Loss: 0.9322, 	Test Accuracy: 0.6685

[EPOCH: 80] 	Train Loss: 1.1335, 	Train Accuracy: 0.5955
[EPOCH: 80] 	Test Loss: 0.9266, 	Test Accuracy: 0.6726

[EPOCH: 81] 	Train Loss: 1.1246, 	Train Accuracy: 0.6006
[EPOCH: 81] 	Test Loss: 0.9354, 	Test Accuracy: 0.6708

[EPOCH: 82] 	Train Loss: 1.1219, 	Train Accuracy: 0.6012
[EPOCH: 82] 	Test Loss: 0.9291, 	Test Accuracy: 0.6730

[EPOCH: 83] 	Train Loss: 1.1189, 	Train Accuracy: 0.6003
[EPOCH: 83] 	Test Loss: 0.9197, 	Test Accuracy: 0.6735

[EPOCH: 84] 	Train Loss: 1.1155, 	Train Accuracy: 0.6033
[EPOCH: 84] 	Test Loss: 0.9041, 	Test Accuracy: 0.6846

[EPOCH: 85] 	Train Loss: 1.1148, 	Train Accuracy: 0.6018
[EPOCH: 85] 	Test Loss: 0.9287, 	Test Accuracy: 0.6732

[EPOCH: 86] 	Train Loss: 1.0968, 	Train Accuracy: 0.6107
[EPOCH: 86] 	Test Loss: 0.8887, 	Test Accuracy: 0.6852

[EPOCH: 87] 	Train Loss: 1.0987, 	Train Accuracy: 0.6103
[EPOCH: 87] 	Test Loss: 0.9047, 	Test Accuracy: 0.6764

[EPOCH: 88] 	Train Loss: 1.1057, 	Train Accuracy: 0.6064
[EPOCH: 88] 	Test Loss: 0.8988, 	Test Accuracy: 0.6833

[EPOCH: 89] 	Train Loss: 1.0962, 	Train Accuracy: 0.6107
[EPOCH: 89] 	Test Loss: 0.8961, 	Test Accuracy: 0.6837

[EPOCH: 90] 	Train Loss: 1.0969, 	Train Accuracy: 0.6110
[EPOCH: 90] 	Test Loss: 0.8933, 	Test Accuracy: 0.6833

[EPOCH: 91] 	Train Loss: 1.0932, 	Train Accuracy: 0.6122
[EPOCH: 91] 	Test Loss: 0.8822, 	Test Accuracy: 0.6814

[EPOCH: 92] 	Train Loss: 1.0919, 	Train Accuracy: 0.6127
[EPOCH: 92] 	Test Loss: 0.8771, 	Test Accuracy: 0.6914

[EPOCH: 93] 	Train Loss: 1.0845, 	Train Accuracy: 0.6150
[EPOCH: 93] 	Test Loss: 0.8850, 	Test Accuracy: 0.6858

[EPOCH: 94] 	Train Loss: 1.0838, 	Train Accuracy: 0.6129
[EPOCH: 94] 	Test Loss: 0.8738, 	Test Accuracy: 0.6892

[EPOCH: 95] 	Train Loss: 1.0813, 	Train Accuracy: 0.6146
[EPOCH: 95] 	Test Loss: 0.8915, 	Test Accuracy: 0.6809

[EPOCH: 96] 	Train Loss: 1.0805, 	Train Accuracy: 0.6146
[EPOCH: 96] 	Test Loss: 0.8673, 	Test Accuracy: 0.6905

[EPOCH: 97] 	Train Loss: 1.0645, 	Train Accuracy: 0.6208
[EPOCH: 97] 	Test Loss: 0.8664, 	Test Accuracy: 0.6915

[EPOCH: 98] 	Train Loss: 1.0645, 	Train Accuracy: 0.6208
[EPOCH: 98] 	Test Loss: 0.8643, 	Test Accuracy: 0.6948

[EPOCH: 99] 	Train Loss: 1.0638, 	Train Accuracy: 0.6206
[EPOCH: 99] 	Test Loss: 0.8779, 	Test Accuracy: 0.6842

[EPOCH: 100] 	Train Loss: 1.0600, 	Train Accuracy: 0.6237
[EPOCH: 100] 	Test Loss: 0.8626, 	Test Accuracy: 0.6933

[EPOCH: 101] 	Train Loss: 1.0584, 	Train Accuracy: 0.6258
[EPOCH: 101] 	Test Loss: 0.8568, 	Test Accuracy: 0.6935

[EPOCH: 102] 	Train Loss: 1.0532, 	Train Accuracy: 0.6269
[EPOCH: 102] 	Test Loss: 0.8650, 	Test Accuracy: 0.6965

[EPOCH: 103] 	Train Loss: 1.0513, 	Train Accuracy: 0.6242
[EPOCH: 103] 	Test Loss: 0.8539, 	Test Accuracy: 0.7013

[EPOCH: 104] 	Train Loss: 1.0466, 	Train Accuracy: 0.6271
[EPOCH: 104] 	Test Loss: 0.8648, 	Test Accuracy: 0.6893

[EPOCH: 105] 	Train Loss: 1.0450, 	Train Accuracy: 0.6268
[EPOCH: 105] 	Test Loss: 0.8554, 	Test Accuracy: 0.7009

[EPOCH: 106] 	Train Loss: 1.0481, 	Train Accuracy: 0.6276
